length	count
1	14
2	105
3	783
4	1616
5	1890
6	2067
7	1861
8	1409
9	987
10	851
11	535
12	313
13	178
14	151
15	319
16	323
17	126
18	55
19	22
20	10
21	7
22	4
23	3
24	1
27	1
31	1
